,Description,Calories,Protein,TotalFat,Carbohydrate
5965,RICE WHITE SHORT-GRAIN RAW,358.0,6.5,0.52,79.15
5966,RICE WHITE SHORT-GRAIN CKD,130.0,2.36,0.19,28.73
5967,RICE WHITE GLUTINOUS RAW,370.0,6.81,0.55,81.68
5968,RICE WHITE GLUTINOUS CKD,97.0,2.02,0.19,21.09
5969,RICE WHITE WITH PASTA DRY,368.0,9.37,2.44,75.32
5970,RICE WHITE W/PASTA CKD,122.0,2.54,2.82,21.43
5971,RICE WHITE STMD CHINESE RESTAURANT,151.0,3.2,0.27,33.88
5972,RICE BRAN CRUDE,316.0,13.35,20.85,49.69
5973,RICE FLOUR WHITE,366.0,5.95,1.42,80.13
5974,RYE,338.0,10.34,1.63,75.86
5975,RYE FLOUR DARK,325.0,15.91,2.22,68.63
5976,RYE FLOUR MEDIUM,349.0,10.88,1.52,75.43
5977,RYE FLOUR LIGHT,357.0,9.82,1.33,76.68
5978,SEMOLINA ENRICHED,360.0,12.68,1.05,72.83
5979,SORGHUM,339.0,11.3,3.3,74.63
5980,TAPIOCA PEARL DRY,358.0,0.19,0.02,88.69
5981,TRITICALE,336.0,13.05,2.09,72.13
5982,TRITICALE FLR WHOLE-GRAIN,338.0,13.18,1.81,73.14
5983,WHEAT HARD RED SPRING,329.0,15.4,1.92,68.03
5984,WHEAT HARD RED WINTER,327.0,12.61,1.54,71.18
5985,WHEAT SOFT RED WINTER,331.0,10.35,1.56,74.24
5986,WHEAT HARD WHITE,342.0,11.31,1.71,75.9
5987,WHEAT SOFT WHITE,340.0,10.69,1.99,75.36
5988,WHEAT DURUM,339.0,13.68,2.47,71.13
5989,WHEAT BRAN CRUDE,216.0,15.55,4.25,64.51
5990,WHEAT GERM CRUDE,360.0,23.15,9.72,51.8
5991,WHEAT FLOUR WHOLE-GRAIN,340.0,13.21,2.5,71.97
5992,WHEAT FLR WHITE ALL-PURPOSE ENR BLEACHED,364.0,10.33,0.98,76.31
5993,WHEAT FLR WHITE ALL-PURPOSE SELF-RISING ENR,354.0,9.89,0.97,74.22
5994,WHEAT FLR WHITE BREAD ENR,361.0,11.98,1.66,72.53
5995,WHEAT FLR WHITE CAKE ENR,362.0,8.2,0.86,78.03
5996,WHEAT FLR WHITE TORTILLA MIX ENR,405.0,9.66,10.63,67.14
5997,WHEAT SPROUTED,198.0,7.49,1.27,42.53
5998,WILD RICE RAW,357.0,14.73,1.08,74.9
5999,WILD RICE COOKED,101.0,3.99,0.34,21.34
6000,RICE FLOUR BROWN,363.0,7.23,2.78,76.48
6001,PASTA CORN DRY,357.0,7.46,2.08,79.26
6002,PASTA CORN COOKED,126.0,2.63,0.73,27.91
6003,PASTA FRESH-REFRIGERATED PLN AS PURCHASED,288.0,11.31,2.3,54.73
6004,PASTA FRESH-REFRIGERATED PLN CKD,131.0,5.15,1.05,24.93
6005,PASTA FRESH-REFRIGERATED SPINACH AS PURCHASED,289.0,11.26,2.1,55.72
6006,PASTA FRESH-REFRIGERATED SPINACH CKD,130.0,5.06,0.94,25.04
6007,PASTA HOMEMADE MADE W/EGG CKD,130.0,5.28,1.74,23.54
6008,PASTA HOMEMADE MADE WO/EGG CKD,124.0,4.37,0.98,25.12
6009,MACARONI DRY ENR,371.0,13.04,1.51,74.67
6010,MACARONI COOKED ENRICHED,158.0,5.8,0.93,30.86
6011,MACARONI PROTEIN-FORTIFIED DRY ENR (N X 5.70),375.0,19.86,2.23,67.56
6012,MACARONI PROTEIN-FORTIFIED CKD ENR (N X 5.70),164.0,8.08,0.21,31.66
6013,MACARONI VEG DRY ENR,367.0,13.14,1.04,74.88
6014,MACARONI VEG CKD ENR,128.0,4.53,0.11,26.61
6015,MACARONI WHOLE-WHEAT DRY,348.0,14.63,1.4,75.03
6016,MACARONI WHOLE-WHEAT CKD,124.0,5.33,0.54,26.54
6017,NOODLES EGG DRY ENRICHED,384.0,14.16,4.44,71.27
6018,NOODLES EGG CKD ENR,138.0,4.54,2.07,25.16
6019,NOODLES EGG SPINACH DRY ENR,382.0,14.61,4.55,70.32
6020,NOODLES EGG SPINACH CKD ENR,132.0,5.04,1.57,24.25
6021,NOODLES CHINESE CHOW MEIN,527.0,8.38,30.76,57.54
6022,NOODLES JAPANESE SOBA DRY,336.0,14.38,0.71,74.62
6023,NOODLES JAPANESE SOBA CKD,99.0,5.06,0.1,21.44
6024,NOODLES JAPANESE SOMEN DRY,356.0,11.35,0.81,74.1
6025,NOODLES JAPANESE SOMEN CKD,131.0,4.0,0.18,27.54
6026,NOODLES FLAT CRUNCHY CHINESE RESTAURANT,521.0,10.33,31.72,51.9
6027,SPAGHETTI DRY ENRICHED,371.0,13.04,1.51,74.67
6028,SPAGHETTI CKD ENR WO/ SALT,158.0,5.8,0.93,30.86
6029,SPAGHETTI PROTEIN-FORTIFIED DRY ENR (N X 5.70),375.0,19.86,2.23,67.56
6030,SPAGHETTI PROTEIN-FORTIFIED CKD ENR (N X 5.70),164.0,8.08,0.21,31.66
6031,SPAGHETTI WHOLE-WHEAT DRY,348.0,14.63,1.4,75.03
6032,SPAGHETTI WHOLE-WHEAT CKD,124.0,5.33,0.54,26.54
6033,SPAGHETTI SPINACH DRY,372.0,13.35,1.57,74.81
6034,SPAGHETTI SPINACH COOKED,130.0,4.58,0.63,26.15
6035,WHEAT FLOURS BREAD UNENR,361.0,11.98,1.66,72.53
6036,BARLEY FLOUR OR MEAL,345.0,10.5,1.6,74.52
6037,BARLEY MALT FLR,361.0,10.28,1.84,78.3
6038,OAT FLR PART DEBRANNED,404.0,14.66,9.12,65.7
6039,RICE NOODLES DRY,364.0,3.44,0.56,83.24
6040,RICE NOODLES COOKED,109.0,0.91,0.2,24.9
6041,QUINOA CKD,120.0,4.4,1.92,21.3
6042,KAMUT UNCKD,337.0,14.7,2.2,70.38
6043,KAMUT CKD,146.0,6.45,0.91,30.46
6044,SPELT UNCKD,338.0,14.57,2.43,70.19
6045,SPELT CKD,127.0,5.5,0.85,26.44
6046,TEFF UNCKD,367.0,13.3,2.38,73.13
6047,TEFF CKD,101.0,3.87,0.65,19.86
6048,MACARONI PROTEIN-FORTIFIED DRY ENR (N X 6.25),374.0,21.78,2.23,65.65
6049,MACARONI PROTEIN-FORTIFIED CKD ENR (N X 6.25),164.0,8.86,0.21,30.88
6050,NOODLES EGG CKD ENR W/ SALT,138.0,4.54,2.07,25.16
6051,CORN FLR WHOLE-GRAIN BLUE (HARINA DE MAIZ MORADO),364.0,8.75,5.09,73.89
6052,CORN FLR WHOLE-GRAIN WHITE,361.0,6.93,3.86,76.85
6053,CORN FLR MASA ENR YEL,365.0,9.28,3.86,76.29
6054,CORNMEAL WHOLE-GRAIN WHITE,362.0,8.12,3.59,76.89
6055,SPAGHETTI CKD ENR W/ SALT,157.0,5.8,0.93,30.59
6056,CORNMEAL DEGERMED ENR WHITE,370.0,7.11,1.75,79.45
6057,CORNMEAL SELF-RISING BOLTED PLN ENR WHITE,334.0,8.28,3.4,70.28
6058,CORNMEAL SELF-RISING BOLTED W/WHEAT FLR ENR WHITE,348.0,8.41,2.85,73.43
6059,CORNMEAL SELF-RISING DEGERMED ENR WHITE,355.0,8.41,1.72,74.79
6060,HOMINY CANNED YELLOW,72.0,1.48,0.88,14.26
6061,RICE WHITE LONG-GRAIN REG CKD ENR W/SALT,130.0,2.69,0.28,28.17
6062,WHEAT FLR WHITE ALL-PURPOSE ENR CALCIUM-FORTIFIED,364.0,10.33,0.98,76.31
6063,MACARONI CKD UNENR,158.0,5.8,0.93,30.86
6064,NOODLES EGG DRY UNENR,384.0,14.16,4.44,71.27
6065,NOODLES EGG CKD UNENR WO/ SALT,138.0,4.54,2.07,25.16
6066,SPAGHETTI DRY UNENRICHED,371.0,13.04,1.51,74.67
6067,SPAGHETTI CKD UNENR WO/ SALT,158.0,5.8,0.93,30.86
6068,CORNMEAL DEGERMED UNENR YEL,370.0,7.11,1.75,79.45
6069,RICE WHITE LONG-GRAIN REG RAW UNENR,365.0,7.13,0.66,79.95
6070,RICE WHITE LONG-GRAIN REG CKD UNENR WO/SALT,130.0,2.69,0.28,28.17
6071,RICE WHITE LONG-GRAIN PARBLD UNENR DRY,374.0,7.51,1.03,80.89
6072,RICE WHITE LONG-GRAIN PARBLD UNENR CKD,123.0,2.91,0.37,26.05
6073,RICE WHITE MEDIUM-GRAIN RAW UNENR,360.0,6.61,0.58,79.34
6074,RICE WHITE MEDIUM-GRAIN CKD UNENR,130.0,2.38,0.21,28.59
6075,RICE WHITE SHORT-GRAIN RAW UNENR,358.0,6.5,0.52,79.15
6076,RICE WHITE SHORT-GRAIN CKD UNENR,130.0,2.36,0.19,28.73
6077,SEMOLINA UNENRICHED,360.0,12.68,1.05,72.83
6078,WHEAT FLR WHITE ALL-PURPOSE UNENR,364.0,10.33,0.98,76.31
6079,MACARONI DRY UNENRICHED,371.0,13.04,1.51,74.67
6080,NOODLES EGG CKD UNENR W/ SALT,138.0,4.54,2.07,25.16
6081,SPAGHETTI CKD UNENR W/ SALT,157.0,5.8,0.93,30.59
6082,CORNMEAL DEGERMED UNENR WHITE,370.0,7.11,1.75,79.45
6083,SPAGHETTI PROTEIN-FORTIFIED CKD ENR (N X 6.25),164.0,8.86,0.21,30.88
6084,RICE WHITE LONG-GRAIN REG CKD UNENR W/SALT,130.0,2.69,0.28,28.17
6085,WHEAT FLR WHITE ALL-PURPOSE ENR UNBLEACHED,364.0,10.33,0.98,76.31
6086,SPAGHETTI PROTEIN-FORTIFIED DRY ENR (N X 6.25),374.0,21.78,2.23,65.65
6087,WHEAT FLR WHITE (INDUSTRIAL) 9% PROT BLEACHED ENR,367.0,8.89,1.43,77.32
6088,WHEAT FLR WHITE (INDUSTRIAL) 9% PROT BLEACHED UNENR,367.0,8.89,1.43,77.32
6089,WHEAT FLR WHITE (INDUSTRIAL) 10% PROT BLEACHED ENR,366.0,9.71,1.48,76.22
6090,WHEAT FLR WHITE (INDUSTRIAL) 10% PROT BLEACHED UNENR,366.0,9.71,1.48,76.22
6091,WHEAT FLR WHITE (INDUSTRIAL) 10% PROT UNBLEACHED ENR,366.0,9.71,1.48,76.22
6092,WHEAT FLR WHITE (INDUSTRIAL) 11.5% PROT BLEACHED ENR,363.0,11.5,1.45,73.81
6093,WHEAT FLR WHITE (INDUSTRIAL) 11.5% PROT BLEACHED UNENR,363.0,11.5,1.45,73.81
6094,WHEAT FLR WHITE (INDUSTRIAL) 11.5% PROT UNBLEACHED ENR,363.0,11.5,1.45,73.81
6095,WHEAT FLR WHITE (INDUSTRIAL) 13% PROT BLEACHED ENR,362.0,13.07,1.38,72.2
6096,WHEAT FLR WHITE (INDUSTRIAL) 13% PROT BLEACHED UNENR,362.0,13.07,1.38,72.2
6097,WHEAT FLR WHITE (INDUSTRIAL) 15% PROT BLEACHED ENR,362.0,15.33,1.41,69.88
6098,WHEAT FLR WHITE (INDUSTRIAL) 15% PROT BLEACHED UNENR,362.0,15.33,1.41,69.88
6099,MILLET FLR,373.0,10.75,4.25,73.05
6100,SORGHUM FLR,361.0,7.87,3.29,77.47
6101,WHEAT FLR WHOLE-GRAIN SOFT WHEAT,332.0,9.61,1.95,74.48
6102,BREAKFAST ITEMS BISCUIT W/EGG&SAUSAGE,312.0,11.13,20.77,21.05
6103,ENTREES CRAB CAKE,266.0,18.75,17.25,8.52
6104,ENTREES FISH FILLET BATTERED OR BREADED &FRIED,232.0,14.66,12.29,16.97
6105,TOSTADA WITH GUACAMOLE,138.0,4.78,8.91,12.27
6106,FST FOODS  POTATO  FRNCH FRIED IN VEG OIL,314.0,3.76,16.12,38.44
6107,SIDE DISHES POTATO SALAD,114.0,1.53,6.03,13.53
6108,FT FDS  HAMBRGER; SIN  LRG PATTY; W/ CONDMNTS  VEG  MAYO,226.0,11.34,12.37,17.33
6109,LIGHT ICE CRM SOFT SERVE BLENDED W/ MILK CHOC CANDIES,182.0,4.02,6.46,26.82
6110,LIGHT ICE CRM SOFT SERVE BLENDED W/ COOKIE PIECES,169.0,3.97,5.66,25.55
6111,K FRIED CHICK FRIED CHICK ORIGINAL RECIPE SKN & BREAD,388.0,13.0,29.47,17.63
6112,GRILLED CHICK BACON & TOMO CLB SNDWCH W/ CHS LETTUCE & MAYO,220.0,17.19,8.05,19.87
6113,CRISPY CHICK BACON & TOMATO CLUB SNDWCH W/ CHS LETUCE & MAYO,257.0,15.38,11.76,22.61
6114,YOGURT PARFAIT LOWFAT W/ FRUIT & GRANOLA,84.0,3.36,1.01,15.86
6115,SALAD GRAPE & APPL W/ YOGURT & CANDIED WALNUTS,117.0,2.15,5.05,15.73
6116,KASHI PIZZA RSTD VEG,224.0,12.5,8.4,24.5
6117,KASHI PIZZA MUSHROOM TRIO & SPINACH,222.0,12.7,8.3,24.6
6118,KASHI PIZZA MARGHERITA,230.0,12.8,8.4,25.7
6119,KASHI PIZZA BASIL PESTO,212.0,12.2,7.7,24.2
6120,KASHI PIZZA MEDITERRANEAN,231.0,12.7,7.5,31.0
6121,MORNINGSTAR FARMS GARDEN VEGGIE PATTIES FRZ UNPREP,176.0,17.8,5.6,13.7
6122,MORNINGSTAR FARMS GRILLERS BURGER STYLE REC CRMBL FRZ UNPREP,140.0,17.8,4.3,8.3
6123,MORNINGSTAR FARMS GRILLERS VEGAN FRZ UNPREP,132.0,16.3,3.4,9.1
6124,MORNINGSTAR FARMS VEGGIE BRKFST SAUSAGE PATTIES FRZ UNPREP,210.0,25.8,7.9,8.8
6125,MORNINGSTAR FARMS SPICY BLACK BEAN BURGER FRZ UNPREP,171.0,16.1,5.7,19.7
6126,GREEN GIANT HARVEST BURGER ORIG FLAV ALL VEG PROT PATTY FRZ,153.0,20.0,4.6,7.8
6127,LOMA LINDA BIG FRANKS CND UNPREP,218.0,21.5,12.1,5.8
6128,MACARONI & CHS CND ENTREE,82.0,3.38,2.46,11.52
6129,SPAGHETTI W/ MEAT SAU FRZ ENTREE,90.0,5.05,1.01,15.24
6130,PASTA W/SLICED FRANKS IN TOMATO SAU CND ENTREE,90.0,4.37,2.38,12.7
6131,TURKEY POT PIE FRZ ENTREE,176.0,6.5,8.8,17.7
6132,BEEF POT PIE FRZ ENTREE PREP,220.0,7.25,11.39,22.05
6133,HOT POCKETS CROISSANT POCKTS CHIK BROC&CHDR STUFD SNDWCH FRZ,235.0,8.9,8.6,30.4
6134,HOT POCKETS HAM 'N CHS STUFFED SNDWCH FRZ,241.0,9.16,9.14,30.55
6135,RAVIOLI CHEESE-FILLED CND,79.0,2.48,1.45,13.64
6136,RAVIOLI MEAT-FILLED W/ TOMATO SAU OR MEAT SAU CND,99.0,3.41,3.41,13.73
6137,TORTELLINI PASTA W/ CHS FILLING FRESH-REFRIGERATED,307.0,13.5,7.23,47.0
6138,CHILI CON CARNE W/BNS CND ENTREE,107.0,5.8,3.47,13.1
6139,BEEF STEW CANNED ENTREE,99.0,4.41,5.53,7.85
6140,CHICKEN POT PIE FRZ ENTREE PREP,214.0,6.08,10.83,23.03
6141,PASTA W/MEATBALLS IN TOMATO SAU CND ENTREE,107.0,4.17,5.1,11.11
6142,BEEF CORNED BF HASH W/ POTATO CND,164.0,8.73,10.24,9.27
6143,LASAGNA CHS FRZ PREP,130.0,6.54,5.33,13.84
6144,CHILI NO BNS CND ENTREE,118.0,7.53,7.1,6.1
6145,SPAGHETTI W/ MEATBALLS CND,107.0,4.17,5.1,11.11
6146,PASTA W/ TOMATO SAU NO MEAT CND,70.0,2.22,0.44,14.22
6147,LASAGNA W/ MEAT & SAU LOW-FAT FRZ ENTREE,101.0,6.81,2.23,13.5
6148,LASAGNA W/ MEAT & SAU FRZ ENTREE,127.0,8.26,4.73,12.87
6149,MACARONI & CHS CND MICROWAVABLE,134.0,5.98,5.99,13.96
6150,CAMPBELL SPAGHETTIOS MINI BF RAVIOLI IN MEAT SAU,99.0,4.25,1.74,16.6
6151,CAMPBELL SPAGHETTIOS SPAGHETTI IN TOMATO & CHS SAU,80.0,2.78,0.6,15.87
6152,CAMPBELL SOUP COMPANY SPAGHETTIOS SPAGHETTIOS ORIGINAL,67.0,2.38,0.4,13.89
6153,CAMPBELL SOUP COMPANY SPAGHETTIOS SPAGHETTIOS A TO Z'S,67.0,2.38,0.4,13.89
6154,CAMPBELL SOUP COMPANY SPAGHETTIOS SPAGHETTIOS IN MEAT SAU,69.0,3.17,0.79,12.3
6155,CAMPBELL  SPAGHETTIOS SPAGHETTIOS PLUS CA,67.0,2.38,0.4,13.89
6156,CAMPBELL  SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU,106.0,4.37,3.17,15.08
6157,CAMPBELL SOUP COMPANY SPAGHETTIOS SPAGHETTIO'S W/ MEATBALLS,95.0,4.37,2.78,12.7
6158,CAMPBELL  SPAGHETTIOS SPAGHETTIO'S W/ SLICED FRANKS,87.0,3.57,2.38,12.7
6159,CAMPBELL SPAGHETTIOS SPAGHETTIOS A TO Z'S W/ MEATBALLS,95.0,4.37,2.78,12.7
6160,SUPPER BAKES MEAL CHEESY CHICK W/ PASTA (CHICK NOT INCLUDED),198.0,7.06,4.71,31.76
6161,SUPPER BAKES MEAL KITS CREAMY STROGANOFF SAU W/ PASTA,147.0,4.8,3.2,24.8
6162,SUPPER BAKES MEAL KITS GARLIC CHICK W/ PASTA,220.0,9.76,0.98,42.93
6163,CAMPBELL  SUPPER BAKES MEAL KITS HERB CHICK W/ RICE,197.0,4.26,1.06,42.55
6164,CAMPBELL SUPPER BAKES MEAL KITS LEMON CHICK W/ HERB RICE,210.0,4.26,1.06,45.74
6165,CAMPBELL SUPPER MEAL KITS SAVORY PORK CHOPS W/ HERB STUFFING,181.0,5.91,1.18,36.64
6166,SUPPER BAKES MEAL KITS SOUTHWESTERN-STYLE CHICK W/RICE,189.0,4.94,1.23,39.51
6167,SUPPER BAKES MEAL CHICK W/ STUFFING (CHICK NOT INCLUDED),190.0,5.94,3.56,34.44
6168,CAMPBELL SOUP COMPANY SWANSON CHICK A LA KING,71.0,4.7,4.03,4.03
6169,CAMPBELL SOUP COMPANY SWANSON CHICK & DUMPLINGS,93.0,4.45,4.05,9.72
6170,EGG ROLLS PORK REFR HTD,222.0,9.94,7.17,29.5
6171,EGG ROLLS CHICK REFR HTD,197.0,10.44,4.51,28.54
6172,EGG ROLLS VEG REFR HTD,196.0,6.62,4.67,31.99
6173,LASAGNA VEG FRZ BKD,139.0,6.87,6.04,14.18
6174,TKY STUFFING MSHD POTATO W/GRAVY ASSORTED VEG FRZ MICROWAVE,128.0,6.97,3.89,16.32
6175,RICE BOWL W/ CHICK FRZ ENTREE PREP,126.0,5.65,1.56,22.46
6176,MACARONI & CHS DINNER W/ DRY SAU MIX BOXED UNCKD,368.0,14.97,3.42,69.21
6177,MACARONI & CHS DINNER W/ DRY SAU MIX BOXED PREP,173.0,6.07,5.77,24.31
6178,HOT POCKETS MEATBALLS & MOZZARELLA STUFFED SNDWCH FRZ,253.0,9.32,10.47,30.45
6179,LEAN POCKETS HAM N CHEDDAR,230.0,10.28,6.53,32.52
6180,LEAN POCKETS MEATBALLS & MOZZARELLA,240.0,10.49,7.7,32.28
6181,CAMPBELL SOUP COMPANY SPAGHETTIOS ORIGINAL EASY OPEN,70.0,2.35,0.47,14.55
6182,CAMPBELL SOUP COMPANY SPAGHETTIOS W/ MEATBALLS -,87.0,4.37,2.43,11.65
6183,CHILI W/ BNS MICROWAVABLE BOWLS,100.0,5.85,3.68,10.88
6184,MACARONI & CHS FRZ ENTREE,149.0,5.6,6.41,17.28
6185,POTATO SALAD W/ EGG,157.0,1.96,9.4,16.18
6186,PULLED PORK IN BARBECUE SAU,168.0,13.19,4.42,18.74
6187,CORN DOGS FRZ PREP,267.0,7.93,12.95,29.71
6188,CHICKEN NUGGETS DK & WHITE MEAT PRECKD FRZ NOT REHTD,260.0,12.48,16.13,16.32
6189,CHICKEN NUGGETS WHITE MEAT PRECKD FRZ NOT REHTD,257.0,13.17,15.65,15.88
6190,RAVIOLI CHS W/ TOMATO SAU FRZ NOT PREP INCL REG & LT ENTREES,111.0,4.52,2.61,17.31
6191,"BEEF SHLDR POT RST OR STK BNLS LN & FAT 0"" FAT ALL GRDS R",130.0,21.39,4.97,0.0
6192,"BEEF SHRT LOIN PRTRHS STEAK LN&FAT 1/8""FAT ALL GRDS RAW",247.0,18.8,18.51,0.0
6193,"BEEF SHRT LOIN PRTRHS STEAK LN&FAT 1/8""FAT ALL GRDS CKD BRLD",297.0,23.51,21.83,0.0
6194,"BEEF SHRT LOIN PRTRHS STEAK LN&FAT 1/8""FAT SEL RAW",222.0,20.72,14.82,0.0
6195,"BEEF SHRT LOIN PRTRHS STEAK LN&FAT 1/8""FAT SEL CKD BRLD",294.0,24.05,21.18,0.0
6196,"BEEF SHRT LOIN T-BONE STEAK LN&FAT 1/8""FAT ALL GRDS RAW",220.0,19.19,15.32,0.0
6197,"BEEF SHRT LOIN T-BONE STEAK LN&FAT 1/8""FAT ALL GRDS CKD BRLD",280.0,24.33,19.47,0.0
6198,"BEEF SHRT LOIN T-BONE STEAK LN&FAT 1/8""FAT SEL RAW",192.0,19.89,11.84,0.0
6199,"BEEF SHRT LOIN T-BONE STEAK LN&FAT 1/8""FAT SEL CKD BRLD",265.0,25.01,17.54,0.0
6200,"BEEF RND KNUCKLE TIP SIDE STEAK LN & FAT 0"" FAT CHOIC RAW",133.0,21.41,4.66,0.0
6201,"BF RND KNUCKLE TIP SIDE STEAK LN & FAT 0"" FAT CH CKD GRILLED",174.0,28.79,5.71,0.0
6202,"BEEF RND KNUCKLE TIP SIDE STEAK LN & FAT 0"" FAT SEL RAW",124.0,21.96,3.24,0.0
6203,"BF RND KNUCKLE TIP SIDE STEAK LN & FAT 0"" FAT SE CKD GRILLED",160.0,29.24,3.91,0.0
6204,"BF CHK CLOD SHLDR TENDER MEDALLION LN & FAT 0"" FAT CHOIC RAW",145.0,20.51,6.36,0.0
6205,"BF CHK CLOD SHDR TNDR MED LN & FAT 0"" FAT CH CKD GRILLED",181.0,26.07,7.68,0.0
6206,"BF CHK CLOD SHLDR TENDER MEDALLION LN & FAT 0"" FAT SEL RAW",142.0,20.93,5.79,0.0
6207,"BEEF CHUCK SHLDR CLOD TOP & CNTR  STK LN & FAT 0"" FAT CH RAW",143.0,20.39,6.12,0.0
6208,"BF CHK SHLDR CLOD TOP & CNTR STK LN & FAT 0"" FAT CH CKD GRLD",184.0,26.07,8.11,0.0
6209,"BF CHUCK SHLDR CLOD  TOP & CNTR STK LN & FAT 0"" FAT SEL RAW",140.0,21.13,5.51,0.0
6210,"BF CHK  CLOD TOP & CNTR STK LN & FAT 0"" FAT SEL CKD GRLD",176.0,26.66,6.94,0.0
6211,"BF CHK SHLDR CLOD TOP BLADE STEAK LN & FAT 0"" FAT CHOIC RAW",182.0,18.75,11.33,0.0
6212,"BF CHK CLOD TOP BLADE STEAK LN & FAT 0"" FAT CH CKD GRILLED",228.0,24.7,13.59,0.0
6213,"BF CHUCK SHLDR CLOD TOP BLADE STEAK LN & FAT 0"" FAT SEL RAW",166.0,19.38,9.22,0.0
6214,"BF CHK CLOD TOP BLADE STEAK LN & FAT 0"" FAT SEL CKD GRILLED",212.0,25.29,11.52,0.0
6215,"BEEF RND KNUCKLE TIP CNTR STEAK LN & FAT 0"" FAT CHOIC RAW",150.0,20.74,6.85,0.0
6216,"BF RND KNUCKLE TIP CNTR STK LN & FAT 0"" FAT CHOIC CKD GRLD",188.0,26.88,8.13,0.0
6217,"BEEF RND KNUCKLE TIP CNTR STEAK LN & FAT 0"" FAT SEL RAW",137.0,20.98,5.21,0.0
6218,"BF RND KNUCKLE TIP CNTR STEAK LN & FAT 0"" FAT SE CKD GRILLED",162.0,26.61,5.32,0.0
6219,"BF RND OUTSIDE RND BTTM RND STEAK LN & FAT 0"" FAT CHOIC RAW",150.0,21.24,6.59,0.0
6220,"BF RND OUT RND BTTM RND STK LN & FAT 0"" FAT CH CKD GRILLED",191.0,27.22,8.3,0.0
6221,"BEEF RND OUTSIDE RND BTTM RND STEAK LN & FAT 0"" FAT SEL RAW",129.0,22.15,3.83,0.0
6222,"BEEF RND OUT RND BTTM RND STK LN & FAT 0"" FAT SEL CKD GRLD",166.0,28.01,5.17,0.0
6223,"BF CHK CLD SHLDR TNDR MEDALLION LN & FAT 0"" FAT ALL GRDS RAW",144.0,20.54,6.22,0.0
6224,"BF CHK CLD SHDR TNDR MED LN & FAT 0"" FAT ALL GRDS CK GRLD",177.0,26.22,7.2,0.0
6225,"BEEF RND KNUCKLE TIP SIDE STEAK LN & FAT 0"" FAT ALL GRDS RAW",129.0,21.69,4.0,0.0
6226,"BF RND KNUCK TIP SIDE STK LN & FAT 0"" FAT ALL GRDS CKD GRLD",168.0,29.08,4.84,0.0
6227,"BF CHUCK CLOD TOP & CNTR STEAK LN & FAT 0"" FAT ALL GRDS RAW",141.0,20.67,5.88,0.0
6228,"BEEF CHCK CLOD SHLDR TOP&CNTR STKS LN & FT 0"" ALL GRDS GRLD",182.0,26.3,7.66,0.0
6229,"BEEF CHUCK CLOD TOP BLADE STEAK LN & FAT 0"" FAT ALL GRDS RAW",176.0,18.99,10.52,0.0
6230,"BF CHUCK CLOD TOP BLADE STK LN & FAT 0"" FAT ALL CKD GRLD",222.0,24.93,12.79,0.0
6231,"BEEF RND KNUCKLE TIP CNTR STEAK LN & FAT 0"" FAT ALL GRDS RAW",143.0,20.93,5.89,0.0
6232,"BF RND KNUCKLE TIP CNTR STK LN & FAT 0"" FAT ALL CKD GRLD",177.0,27.12,6.78,0.0
6233,"BF RND OUTSIDE RND BTTM RND STEAK LN & FAT 0"" FAT ALL RAW",142.0,21.59,5.53,0.0
6234,"BF RND OUT RND BTTM RND STK LN & FAT 0"" FAT ALL GRDS CK GRLD",182.0,27.52,7.1,0.0
6235,"BF CHK  CLOD SHLDR TENDER MED LN & FAT 0"" FAT SE CKD GRILLED",172.0,26.45,6.43,0.0
6236,"BEEF CHUCK SHRT RIBS BNLESS LN 0"" FAT CHOIC RAW",175.0,19.38,10.7,0.29
6237,"BEEF CHUCK SHRT RIBS BNLESS LN 0"" FAT SEL RAW",161.0,20.14,8.99,0.0
6238,"BEEF CHUCK SHRT RIBS BNLESS LN 0"" FAT ALL GRDS RAW",169.0,19.68,10.02,0.05
6239,"BEEF CHUCK EYE COUNTRY-STYLE RIBS BNLESS LN 0"" FAT CHOIC CKD",234.0,30.95,12.22,0.0
6240,"BEEF CHUCK EYE COUNTRY-STYLE RIBS BNLESS LN 0"" FAT SEL CKD B",221.0,32.1,10.24,0.0
6241,"BF CHK EYE CNTRY-STL RIBS BNLS LN 0"" FAT ALL GRDS  CKD  BRSD",228.0,31.41,11.43,0.0
6242,"BEEF CHUCK EYE COUNTRY-STYLE RIBS BNLESS LN 0"" FAT CHOIC RAW",152.0,20.87,7.67,0.0
6243,"BEEF CHUCK EYE COUNTRY-STYLE RIBS BNLESS LN 0"" FAT SEL RAW",137.0,21.1,5.89,0.0
6244,"BEEF CHK EYE COUNTRY-STYLE RIBS BNLS LN 0"" FAT ALL GRDS  RAW",146.0,20.96,6.95,0.0
6245,"BEEF CHUCK EYE STEAK BNLESS LN 0"" FAT CHOIC CKD GRILLED",215.0,27.97,11.47,0.0
6246,"BEEF CHUCK EYE STEAK BNLESS LN 0"" FAT SEL CKD GRILLED",199.0,27.88,9.77,0.0
6247,"BEEF CHUCK EYE STEAK BNLESS LN 0"" FAT ALL GRDS CKD GRILLED",209.0,27.94,10.79,0.0
6248,"BEEF CHUCK EYE STEAK BNLESS LN 0"" FAT CHOIC RAW",160.0,21.31,8.29,0.0
6249,"BEEF CHUCK EYE STEAK BNLESS LN 0"" FAT SEL RAW",143.0,21.28,6.47,0.0
