,Description,Calories,Protein,TotalFat,Carbohydrate
166,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222.0,19.6,10.6,11.8
167,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152.0,4.5,12.0,6.5
168,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91.0,4.7,1.3,15.1
169,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96.0,3.8,0.8,18.2
170,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108.0,3.2,0.8,21.9
171,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,3.8,0.9,19.9
172,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,3.4,0.2,9.9
173,CREAM HALF & HALF FAT FREE,59.0,2.6,1.4,9.0
174,REDDI WIP FAT FREE WHIPPED TOPPING,149.0,3.0,5.0,25.0
175,MILK CHOC FLUID COMM RED FAT W/ ADDED CA,78.0,2.99,1.9,12.13
176,YOGURT FRUIT LOFAT W/LO CAL SWEETENER,105.0,4.86,1.41,18.6
177,CHEESE PARMESAN DRY GRATED RED FAT,265.0,20.0,20.0,1.37
178,CREAM SUB FLAV LIQ,251.0,0.69,13.5,35.07
179,CREAM SUB FLAV PDR,498.0,0.68,21.47,75.42
180,CHEESE PROVOLONE RED FAT,274.0,24.7,17.6,3.5
181,CHEESE MEXICAN BLEND RED FAT,282.0,24.69,19.4,3.41
182,EGG MIX USDA CMDTY,555.0,35.6,34.5,23.97
183,MILK WHL 3.25% MILKFAT WO/ ADDED VIT A & VITAMIN D,61.0,3.15,3.27,4.78
184,MILK DRY WHL WO/ ADDED VITAMIN D,496.0,26.32,26.71,38.42
185,MILK CND EVAP WO/ ADDED VIT A & VITAMIN D,135.0,6.81,7.56,10.04
186,CHEESE PRODUCT PAST PROCESS AMERICAN RED FAT FORT W/ VIT D,240.0,17.6,14.1,10.6
187,YOGURT FRUIT LOFAT 9 GRAMS PROT PER 8 OZ FORT W/ VITAMIN D,99.0,3.98,1.15,18.64
188,YOGURT FRUIT LOFAT 10 GRAMS PROT PER 8 OZ FORT W/ VITAMIN D,102.0,4.37,1.08,19.05
189,YOGURT FRUIT VAR NONFAT FORT W/ VITAMIN D,95.0,4.4,0.2,19.0
190,YOGURT FRUIT LOWFAT W/ LO CAL SWTNR FORT W/ VITAMIN D,105.0,4.86,1.41,18.6
191,YOGURT VANILLA LOFAT 11 GRAMS PROT PER 8 OZ FORT W/ VIT D,85.0,4.93,1.25,13.8
